Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0044770,cell cycle phase transition,28,529,69,3.3222002775602306e-24,3.3222002775602306e-23,11073;1111;11200;1763;2177;22976;29980;3014;4361;472;4998;545;580;5884;5888;5890;5932;6118;6240;63967;641;672;675;7158;83990;84126;90381;9656,True,"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]",19241,0.4057971014492754,0.052930056710775046,query_1,['GO:0022402']
GO:BP,GO:0045786,negative regulation of cell cycle,25,375,69,8.283572947170876e-24,8.127279117978973e-23,11073;1111;11200;1763;2177;29980;3014;4361;472;4998;545;580;5884;5888;5932;6118;63967;641;672;675;7158;83990;84126;90381;9656,True,"""Any process that stops, prevents or reduces the rate or extent of progression through the cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]",19241,0.36231884057971014,0.06666666666666667,query_1,"['GO:0007049', 'GO:0048523', 'GO:0051726']"
GO:BP,GO:0006950,response to stress,54,3890,69,2.7212360228093215e-23,2.54719518811193e-22,10535;10721;11073;1111;11144;11200;1763;2177;2237;22976;2547;27434;29980;3014;3981;4046;4171;4172;4174;4175;4176;4361;472;5111;5422;5427;545;55215;57379;580;5884;5888;5890;5892;5932;5983;6117;6118;6240;63967;641;672;675;7156;7158;7520;79728;8208;83990;84126;84296;90381;9401;9656,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",19241,0.782608695652174,0.013881748071979434,query_1,['GO:0050896']
GO:BP,GO:0010564,regulation of cell cycle process,30,714,69,2.7431332795051556e-23,2.54719518811193e-22,11073;1111;11200;1763;2177;2237;22976;29980;3014;4361;472;4998;545;57379;580;5884;5888;5890;5932;6118;6240;63967;641;672;675;7158;83990;84126;90381;9656,True,"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]",19241,0.43478260869565216,0.04201680672268908,query_1,"['GO:0022402', 'GO:0051726']"
GO:BP,GO:0007093,mitotic cell cycle checkpoint signaling,18,136,69,3.778221561723731e-22,3.446798617712878e-21,11073;1111;11200;2177;29980;4361;472;4998;545;580;5884;5932;6118;63967;641;672;90381;9656,True,"""A signaling process that ensures accurate chromosome replication and segregation by preventing progression through a mitotic cell cycle until conditions are suitable for the cell to proceed to the next stage."" [GOC:mtg_cell_cycle]",19241,0.2608695652173913,0.1323529411764706,query_1,"['GO:0000075', 'GO:0045930', 'GO:1903047']"
GO:BP,GO:0010212,response to ionizing radiation,18,140,69,6.294601283861552e-22,5.547784182386452e-21,11073;11200;2177;22976;2547;3014;3981;472;545;580;5888;6240;641;672;675;7158;7520;90381,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [PMID:12509526]",19241,0.2608695652173913,0.12857142857142856,query_1,['GO:0009314']
GO:BP,GO:1903047,mitotic cell cycle process,29,739,69,1.311499523218413e-21,1.1366329201226244e-20,11073;1111;11200;1763;2177;29980;4171;4172;4175;4361;472;4998;5111;5422;545;580;5884;5888;5890;5932;6118;6240;63967;641;64785;672;675;90381;9656,True,"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",19241,0.42028985507246375,0.03924221921515562,query_1,"['GO:0000278', 'GO:0022402']"
GO:BP,GO:1902749,regulation of cell cycle G2/M phase transition,17,118,69,1.4967061260773661e-21,1.2758806320659515e-20,11073;1111;22976;29980;4361;472;4998;545;580;5884;5890;5932;6240;63967;641;672;90381,True,"""Any signaling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the cell cycle."" [GO_REF:0000058, GOC:jl, GOC:TermGenie]",19241,0.2463768115942029,0.1440677966101695,query_1,"['GO:0044839', 'GO:1901987']"
GO:BP,GO:0044818,mitotic G2/M transition checkpoint,14,55,69,2.3653591139093133e-21,1.952359903544195e-20,11073;1111;29980;4361;472;4998;545;580;5884;5932;63967;641;672;90381,True,"""A cell cycle checkpoint that detects and negatively regulates progression from G2 to M phase as part of a mitotic cell cycle."" [GOC:mtg_cell_cycle]",19241,0.2028985507246377,0.2545454545454545,query_1,"['GO:0007093', 'GO:0010972']"
GO:BP,GO:0044774,mitotic DNA integrity checkpoint signaling,15,74,69,2.6226911367820884e-21,2.1309365486354468e-20,11073;1111;11200;2177;29980;4361;472;4998;5884;6118;63967;641;672;90381;9656,True,"""A signaling process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA during mitosis. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and ends with signal transduction."" [GOC:mtg_cell_cycle]",19241,0.21739130434782608,0.20270270270270271,query_1,"['GO:0007093', 'GO:0031570']"
