Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
REAC,REAC:R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,4,51,65,0.00012161535852093656,0.00040965173396526,1017;1019;2034;898,True,Signaling by Non-Receptor Tyrosine Kinases,19241,0.06153846153846154,0.0784313725490196,query_1,['REAC:R-HSA-162582']
REAC,REAC:R-HSA-8848021,Signaling by PTK6,4,51,65,0.00012161535852093656,0.00040965173396526,1017;1019;2034;898,True,Signaling by PTK6,19241,0.06153846153846154,0.0784313725490196,query_1,['REAC:R-HSA-9006927']
REAC,REAC:R-HSA-427413,NoRC negatively regulates rRNA expression,5,104,65,0.00012272438782920896,0.00041194200110503706,3012;653604;6908;8356;902,True,NoRC negatively regulates rRNA expression,19241,0.07692307692307693,0.04807692307692308,query_1,['REAC:R-HSA-5250941']
REAC,REAC:R-HSA-449147,Signaling by Interleukins,9,473,65,0.00013049494756679433,0.0004364987793175002,1026;23198;3725;4609;5713;5970;653604;7157;8356,True,Signaling by Interleukins,19241,0.13846153846153847,0.019027484143763214,query_1,['REAC:R-HSA-1280215']
REAC,REAC:R-HSA-3232118,SUMOylation of transcription factors,3,18,65,0.0001310263714834775,0.00043675457161159175,1029;4193;7157,True,SUMOylation of transcription factors,19241,0.046153846153846156,0.16666666666666666,query_1,['REAC:R-HSA-3108232']
REAC,REAC:R-HSA-5250941,Negative epigenetic regulation of rRNA expression,5,107,65,0.00013779542492308675,0.00045615037215918373,3012;653604;6908;8356;902,True,Negative epigenetic regulation of rRNA expression,19241,0.07692307692307693,0.04672897196261682,query_1,['REAC:R-HSA-212165']
REAC,REAC:R-HSA-73854,RNA Polymerase I Promoter Clearance,5,108,65,0.0001431024513423995,0.0004720905611295654,3012;653604;6908;8356;902,True,RNA Polymerase I Promoter Clearance,19241,0.07692307692307693,0.046296296296296294,query_1,['REAC:R-HSA-73864']
REAC,REAC:R-HSA-109606,Intrinsic Pathway for Apoptosis,4,54,65,0.000146376583106152,0.0004812380814448833,1029;1869;7027;7157,True,Intrinsic Pathway for Apoptosis,19241,0.06153846153846154,0.07407407407407407,query_1,['REAC:R-HSA-109581']
REAC,REAC:R-HSA-73864,RNA Polymerase I Transcription,5,109,65,0.0001475304762721762,0.00048337630450951926,3012;653604;6908;8356;902,True,RNA Polymerase I Transcription,19241,0.07692307692307693,0.045871559633027525,query_1,['REAC:R-HSA-74160']
REAC,REAC:R-HSA-212165,Epigenetic regulation of gene expression,6,184,65,0.0001593152452393595,0.0005184496116263902,26993;3012;653604;6908;8356;902,True,Epigenetic regulation of gene expression,19241,0.09230769230769231,0.03260869565217391,query_1,['REAC:R-HSA-74160']
REAC,REAC:R-HSA-9687136,Aberrant regulation of mitotic exit in cancer due to RB1 defects,3,20,65,0.00017355324784919588,0.0005581872069958688,29882;5925;64682,True,Aberrant regulation of mitotic exit in cancer due to RB1 defects,19241,0.046153846153846156,0.15,query_1,['REAC:R-HSA-9687139']
REAC,REAC:R-HSA-176412,Phosphorylation of the APC/C,3,20,65,0.00017355324784919588,0.0005581872069958688,29882;64682;983,True,Phosphorylation of the APC/C,19241,0.046153846153846156,0.15,query_1,['REAC:R-HSA-176814']
REAC,REAC:R-HSA-1500620,Meiosis,5,115,65,0.0001856941101161705,0.0005883377746254907,1017;1019;3012;653604;8356,True,Meiosis,19241,0.07692307692307693,0.043478260869565216,query_1,"['REAC:R-HSA-1474165', 'REAC:R-HSA-1640170']"
REAC,REAC:R-HSA-9768919,NPAS4 regulates expression of target genes,3,21,65,0.0001990021917993121,0.0006243206017233321,1020;1387;4193,True,NPAS4 regulates expression of target genes,19241,0.046153846153846156,0.14285714285714285,query_1,['REAC:R-HSA-9634815']
REAC,REAC:R-HSA-9816359,Maternal to zygotic transition (MZT),5,117,65,0.0001990021917993121,0.0006243206017233321,1387;3012;653604;7157;8356,True,Maternal to zygotic transition (MZT),19241,0.07692307692307693,0.042735042735042736,query_1,['REAC:R-HSA-1266738']
REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,11,777,65,0.00022217219072282685,0.0006880171067545606,1026;23198;3725;3838;4609;5713;5970;653604;7157;8356;983,True,Cytokine Signaling in Immune system,19241,0.16923076923076924,0.014157014157014158,query_1,['REAC:R-HSA-168256']
REAC,REAC:R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,4,61,65,0.00022333941047568724,0.0006894078265487451,1025;3725;7157;902,True,TP53 Regulates Transcription of DNA Repair Genes,19241,0.06153846153846154,0.06557377049180328,query_1,['REAC:R-HSA-3700989']
REAC,REAC:R-HSA-9006936,Signaling by TGFB family members,5,122,65,0.00023829456061981376,0.0007308714958307387,1025;1874;4609;5933;7027,True,Signaling by TGFB family members,19241,0.07692307692307693,0.040983606557377046,query_1,['REAC:R-HSA-162582']
REAC,REAC:R-HSA-171319,Telomere Extension By Telomerase,3,23,65,0.00025558204832104445,0.0007789167186927068,1017;8607;8900,True,Telomere Extension By Telomerase,19241,0.046153846153846156,0.13043478260869565,query_1,['REAC:R-HSA-180786']
REAC,REAC:R-HSA-69560,Transcriptional activation of p53 responsive genes  ,2,4,65,0.0002727940310502258,0.0008209475542577328,1026;7157,True,Transcriptional activation of p53 responsive genes  ,19241,0.03076923076923077,0.5,query_1,['REAC:R-HSA-69563']
REAC,REAC:R-HSA-69895,Transcriptional  activation of  cell cycle inhibitor p21 ,2,4,65,0.0002727940310502258,0.0008209475542577328,1026;7157,True,Transcriptional  activation of  cell cycle inhibitor p21 ,19241,0.03076923076923077,0.5,query_1,['REAC:R-HSA-69560']
REAC,REAC:R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,3,24,65,0.0002858567507585073,0.0008548986938572182,29882;64682;983,True,APC/C:Cdc20 mediated degradation of Cyclin B,19241,0.046153846153846156,0.125,query_1,['REAC:R-HSA-176409']
REAC,REAC:R-HSA-427359,SIRT1 negatively regulates rRNA expression,4,66,65,0.0002930771882320497,0.0008737704990769185,3012;653604;6908;8356,True,SIRT1 negatively regulates rRNA expression,19241,0.06153846153846154,0.06060606060606061,query_1,['REAC:R-HSA-5250941']
REAC,REAC:R-HSA-1169091,Activation of NF-kappaB in B cells,4,67,65,0.0003089546658346012,0.0009154212321025221,23198;5713;5966;5970,True,Activation of NF-kappaB in B cells,19241,0.06153846153846154,0.05970149253731343,query_1,['REAC:R-HSA-1168372']
REAC,REAC:R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,4,68,65,0.00032540125636752585,0.0009611852495779225,23198;29882;5713;64682,True,APC/C:Cdc20 mediated degradation of Securin,19241,0.06153846153846154,0.058823529411764705,query_1,['REAC:R-HSA-176409']
REAC,REAC:R-HSA-68875,Mitotic Prophase,5,133,65,0.00034135881173965747,0.0009990989611892414,3012;5925;653604;8356;983,True,Mitotic Prophase,19241,0.07692307692307693,0.03759398496240601,query_1,['REAC:R-HSA-68886']
REAC,REAC:R-HSA-3214841,PKMTs methylate histone lysines,4,70,65,0.000360039710078503,0.0010505717984053582,5970;653604;8356;83852,True,PKMTs methylate histone lysines,19241,0.06153846153846154,0.05714285714285714,query_1,['REAC:R-HSA-3247509']
REAC,REAC:R-HSA-68949,Orc1 removal from chromatin,4,71,65,0.0003782503615691202,0.0010937359852601065,1017;23198;5713;8900,True,Orc1 removal from chromatin,19241,0.06153846153846154,0.056338028169014086,query_1,['REAC:R-HSA-69052']
REAC,REAC:R-HSA-6807070,PTEN Regulation,5,138,65,0.0003989902726090654,0.0011467983883374337,23198;3725;5713;7157;8841,True,PTEN Regulation,19241,0.07692307692307693,0.036231884057971016,query_1,['REAC:R-HSA-1257604']
REAC,REAC:R-HSA-8866911,TFAP2 (AP-2) family regulates transcription of cell cycle factors,2,5,65,0.000429068363105835,0.0012259096088738145,1026;4609,True,TFAP2 (AP-2) family regulates transcription of cell cycle factors,19241,0.03076923076923077,0.4,query_1,['REAC:R-HSA-8864260']
REAC,REAC:R-HSA-162906,HIV Infection,6,226,65,0.00043495539148024606,0.0012390420647508493,1025;23198;3159;5713;6908;902,True,HIV Infection,19241,0.09230769230769231,0.02654867256637168,query_1,['REAC:R-HSA-9824446']
REAC,REAC:R-HSA-73894,DNA Repair,7,328,65,0.0004444703778519963,0.0012586771762180425,1017;3012;3838;7157;8607;8900;902,True,DNA Repair,19241,0.1076923076923077,0.021341463414634148,query_1,['REAC:0000000']
REAC,REAC:R-HSA-1234174,Cellular response to hypoxia,4,75,65,0.00045454593481139766,0.001279660109732967,1387;2034;23198;5713,True,Cellular response to hypoxia,19241,0.06153846153846154,0.05333333333333334,query_1,['REAC:R-HSA-2262752']
REAC,REAC:R-HSA-3214858,RMTs methylate histone arginines,4,78,65,0.0005232226165348126,0.0014601561391669189,1019;3012;653604;8356,True,RMTs methylate histone arginines,19241,0.06153846153846154,0.05128205128205128,query_1,['REAC:R-HSA-3247509']
REAC,REAC:R-HSA-114452,Activation of BH3-only proteins,3,30,65,0.0005232226165348126,0.0014601561391669189,1869;7027;7157,True,Activation of BH3-only proteins,19241,0.046153846153846156,0.1,query_1,['REAC:R-HSA-109606']
REAC,REAC:R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),4,80,65,0.0005738534104634824,0.001592194433655905,23198;5713;5966;5970,True,Downstream signaling events of B Cell Receptor (BCR),19241,0.06153846153846154,0.05,query_1,['REAC:R-HSA-983705']
REAC,REAC:R-HSA-1474165,Reproduction,5,153,65,0.000617643125116865,0.0017087533144443526,1017;1019;3012;653604;8356,True,Reproduction,19241,0.07692307692307693,0.032679738562091505,query_1,['REAC:0000000']
